round,FedAvg,FDL-FL,AVFL,AVFL+Macro schedule
47,0.556875,0.571103723,0.615,0.664414894
48,0.563444149,0.546396277,0.610172872,0.680478723
49,0.566595745,0.555172872,0.618829787,0.662269504
50,0.564148936,0.563324468,0.630332447,0.666152482
51,0.565824468,0.579175532,0.588803191,0.670035461
52,0.562340426,0.574574468,0.618510638,0.669042553
53,0.574175532,0.571449468,0.617393617,0.661826241
54,0.591994681,0.560492021,0.648643617,0.683900709
55,0.582526596,0.57474734,0.643909574,0.68712766
56,0.579388298,0.573670213,0.633111702,0.680230496
57,0.587513298,0.571170213,0.634920213,0.681719858
58,0.582087766,0.561808511,0.611542553,0.68964539
59,0.594441489,0.549454787,0.603018617,0.69714539
60,0.601143617,0.557912234,0.65231383,0.703014184
61,0.586994681,0.565106383,0.61768617,0.691666667
62,0.585944149,0.587034574,0.619773936,0.693102837
63,0.597353723,0.578710106,0.642579787,0.712553191
64,0.593922872,0.581675532,0.60287234,0.705195035
65,0.596968085,0.599867021,0.632300532,0.686507092
66,0.59462766,0.597300532,0.613550532,0.702907801
67,0.602952128,0.600292553,0.614654255,0.714485816
68,0.584773936,0.597167553,0.639295213,0.708439716
69,0.589614362,0.619055851,0.638523936,0.709255319
70,0.591369681,0.620718085,0.649082447,0.696134752
71,0.600558511,0.607832447,0.643364362,0.714893617
72,0.609441489,0.610984043,0.643430851,0.706684397
73,0.597353723,0.61,0.626768617,0.709751773
74,0.602832447,0.597779255,0.634162234,0.717570922
75,0.603297872,0.599694149,0.647406915,0.720780142
76,0.607659574,0.598151596,0.626609043,0.709769504
77,0.607473404,0.619880319,0.638843085,0.709432624
78,0.626196809,0.624694149,0.643656915,0.725159574
79,0.62337766,0.598284574,0.64650266,0.710638298
80,0.613071809,0.601037234,0.648005319,0.72070922
81,0.601236702,0.602300532,0.643989362,0.715336879
82,0.593643617,0.616901596,0.674095745,0.713492908
83,0.614202128,0.620651596,0.639135638,0.730443262
84,0.605,0.627420213,0.638257979,0.713546099
85,0.607965426,0.625598404,0.648829787,0.721028369
86,0.609295213,0.626103723,0.648218085,0.723297872
87,0.599773936,0.609667553,0.632460106,0.723794326
88,0.585558511,0.608364362,0.647539894,0.71141844
89,0.60625,0.614694149,0.656901596,0.713457447
90,0.607460106,0.626077128,0.611542553,0.726453901
91,0.618484043,0.610199468,0.656156915,0.727322695
92,0.636090426,0.622406915,0.656702128,0.725886525
93,0.624029255,0.621609043,0.678882979,0.732109929
94,0.631276596,0.625119681,0.670585106,0.712925532
95,0.613390957,0.611848404,0.661050532,0.73143617
96,0.605079787,0.622672872,0.663218085,0.732411348
97,0.617593085,0.626409574,0.661981383,0.737836879
98,0.617273936,0.608244681,0.658656915,0.725904255
99,0.5975,0.612154255,0.66606383,0.737695035
100,0.619095745,0.626356383,0.66212766,0.730620567
101,0.625744681,0.621476064,0.650013298,0.73108156
102,0.636781915,0.636994681,0.625797872,0.740957447
103,0.622234043,0.630757979,0.636635638,0.73464539
104,0.62831117,0.619388298,0.635691489,0.733475177
105,0.626994681,0.639109043,0.643257979,0.729343972
106,0.629734043,0.63668883,0.663670213,0.724698582
107,0.648031915,0.625319149,0.654082447,0.735921986
108,0.648523936,0.621356383,0.653696809,0.734184397
109,0.653590426,0.618045213,0.628018617,0.73606383
110,0.632114362,0.623710106,0.649401596,0.736808511
111,0.633763298,0.617433511,0.651928191,0.739148936
112,0.615518617,0.632765957,0.669268617,0.723173759
113,0.629414894,0.631795213,0.651861702,0.73108156
114,0.618909574,0.633125,0.665970745,0.740620567
115,0.625172872,0.626808511,0.659853723,0.730833333
116,0.64349734,0.625837766,0.634920213,0.745762411
117,0.640292553,0.629760638,0.643763298,0.739414894
118,0.644414894,0.623656915,0.657912234,0.729911348
119,0.632047872,0.640079787,0.667034574,0.746489362
120,0.624281915,0.646356383,0.638125,0.744388298
121,0.643085106,0.635332447,0.657593085,0.744414894
122,0.633670213,0.625292553,0.671981383,0.753244681
123,0.638125,0.648337766,0.659933511,0.744255319
124,0.652726064,0.631143617,0.648882979,0.752074468
125,0.638324468,0.642978723,0.65831117,0.742234043
126,0.649029255,0.645146277,0.657207447,0.753484043
127,0.651196809,0.650332447,0.653776596,0.736781915
128,0.66043883,0.645598404,0.677194149,0.747712766
129,0.655132979,0.655518617,0.653763298,0.74837766
130,0.663537234,0.653005319,0.655784574,0.750930851
131,0.663882979,0.642460106,0.657353723,0.734281915
132,0.654867021,0.655026596,0.666702128,0.744414894
133,0.659920213,0.654521277,0.665452128,0.738058511
134,0.647021277,0.653125,0.656050532,0.743590426
135,0.639428191,0.645545213,0.669680851,0.731010638
136,0.631861702,0.647805851,0.660079787,0.749468085
137,0.62043883,0.642912234,0.663417553,0.749069149
138,0.637460106,0.627433511,0.66606383,0.745930851
139,0.649082447,0.644760638,0.653218085,0.740452128
140,0.65712766,0.647992021,0.648111702,0.744707447
141,0.656755319,0.652114362,0.630398936,0.746994681
142,0.64581117,0.66043883,0.663125,0.749095745
143,0.639494681,0.663457447,0.648843085,0.74856383
144,0.657805851,0.659268617,0.663763298,0.750106383
145,0.66349734,0.652779255,0.655678191,0.745425532
146,0.662420213,0.63724734,0.662646277,0.751755319
147,0.660132979,0.636263298,0.642632979,0.746888298
148,0.667154255,0.646914894,0.657287234,0.736728723
149,0.661954787,0.655212766,0.659242021,0.74356383
150,0.656555851,0.642021277,0.673111702,0.748324468
151,0.661861702,0.64168883,0.656968085,0.74481383
152,0.679202128,0.640678191,0.674946809,0.757101064
153,0.656595745,0.648736702,0.661795213,0.75162234
154,0.662047872,0.642367021,0.642579787,0.756702128
155,0.670385638,0.647898936,0.674082447,0.74518617
156,0.660452128,0.653603723,0.657287234,0.749787234
157,0.646143617,0.650957447,0.662446809,0.747925532
158,0.650079787,0.644428191,0.676529255,0.742526596
159,0.648882979,0.645984043,0.669614362,0.750930851
160,0.660053191,0.641263298,0.682114362,0.750797872
161,0.656954787,0.647140957,0.660212766,0.751781915
162,0.653896277,0.660159574,0.670984043,0.759601064
163,0.675465426,0.659175532,0.685332447,0.749946809
164,0.660226064,0.641595745,0.670478723,0.762579787
165,0.657726064,0.638643617,0.685718085,0.767260638
166,0.66018617,0.640292553,0.659587766,0.76393617
167,0.65849734,0.63268617,0.660731383,0.758962766
