round,FedAvg+Macro schedule,FDL-FL+Macro schedule,AVFL+Macro schedule,FedAvg,FDL-FL,AVFL
81,0.659015957,0.627163121,0.685177305,0.601236702,0.602300532,0.643989362
82,0.657393617,0.633191489,0.677748227,0.593643617,0.616901596,0.674095745
83,0.667978723,0.622996454,0.70785461,0.614202128,0.620651596,0.639135638
84,0.642154255,0.64748227,0.71858156,0.605,0.627420213,0.638257979
85,0.659840426,0.646613475,0.701666667,0.607965426,0.625598404,0.648829787
86,0.661781915,0.634946809,0.705851064,0.609295213,0.626103723,0.648218085
87,0.662340426,0.662322695,0.672393617,0.599773936,0.609667553,0.632460106
88,0.670345745,0.665904255,0.688067376,0.585558511,0.608364362,0.647539894
89,0.665611702,0.660833333,0.708173759,0.60625,0.614694149,0.656901596
90,0.671941489,0.67072695,0.700957447,0.607460106,0.626077128,0.611542553
91,0.679494681,0.67214539,0.719326241,0.618484043,0.610199468,0.656156915
92,0.660797872,0.661524823,0.703315603,0.636090426,0.622406915,0.656702128
93,0.660212766,0.641258865,0.711276596,0.624029255,0.621609043,0.678882979
94,0.673271277,0.655425532,0.699734043,0.631276596,0.625119681,0.670585106
95,0.668271277,0.651099291,0.707109929,0.613390957,0.611848404,0.661050532
96,0.656515957,0.645053191,0.691613475,0.605079787,0.622672872,0.663218085
97,0.674521277,0.66322695,0.696187943,0.617593085,0.626409574,0.661981383
98,0.678537234,0.661968085,0.687907801,0.617273936,0.608244681,0.658656915
99,0.671542553,0.640762411,0.702304965,0.5975,0.612154255,0.66606383
100,0.668882979,0.654804965,0.705124113,0.619095745,0.626356383,0.66212766
101,0.67518617,0.670602837,0.712925532,0.625744681,0.621476064,0.650013298
102,0.684946809,0.666719858,0.727641844,0.636781915,0.636994681,0.625797872
103,0.684547872,0.664858156,0.705070922,0.622234043,0.630757979,0.636635638
104,0.683776596,0.666843972,0.723156028,0.62831117,0.619388298,0.635691489
105,0.679468085,0.675496454,0.712464539,0.626994681,0.639109043,0.643257979
106,0.676329787,0.660549645,0.712624113,0.629734043,0.63668883,0.663670213
107,0.680265957,0.673758865,0.709095745,0.648031915,0.625319149,0.654082447
108,0.688590426,0.675921986,0.723031915,0.648523936,0.621356383,0.653696809
109,0.676170213,0.676578014,0.718794326,0.653590426,0.618045213,0.628018617
110,0.680558511,0.675088652,0.729095745,0.632114362,0.623710106,0.649401596
111,0.688617021,0.675460993,0.715531915,0.633763298,0.617433511,0.651928191
112,0.670132979,0.655141844,0.727198582,0.615518617,0.632765957,0.669268617
113,0.672021277,0.664574468,0.719840426,0.629414894,0.631795213,0.651861702
114,0.665398936,0.668156028,0.710975177,0.618909574,0.633125,0.665970745
115,0.665106383,0.67035461,0.70964539,0.625172872,0.626808511,0.659853723
116,0.665664894,0.673882979,0.728386525,0.64349734,0.625837766,0.634920213
117,0.665398936,0.662836879,0.727765957,0.640292553,0.629760638,0.643763298
118,0.64981383,0.667216312,0.719946809,0.644414894,0.623656915,0.657912234
119,0.67037234,0.674113475,0.705035461,0.632047872,0.640079787,0.667034574
120,0.672606383,0.689202128,0.728351064,0.624281915,0.646356383,0.638125
121,0.681117021,0.687234043,0.726648936,0.643085106,0.635332447,0.657593085
122,0.697526596,0.684539007,0.724166667,0.633670213,0.625292553,0.671981383
123,0.685292553,0.686294326,0.728138298,0.638125,0.648337766,0.659933511
124,0.680691489,0.681471631,0.714609929,0.652726064,0.631143617,0.648882979
125,0.686781915,0.678741135,0.73287234,0.638324468,0.642978723,0.65831117
126,0.68356383,0.681294326,0.71998227,0.649029255,0.645146277,0.657207447
127,0.69231383,0.681719858,0.726737589,0.651196809,0.650332447,0.653776596
128,0.684361702,0.667819149,0.715283688,0.66043883,0.645598404,0.677194149
129,0.675930851,0.67141844,0.730390071,0.655132979,0.655518617,0.653763298
130,0.678164894,0.674113475,0.729113475,0.663537234,0.653005319,0.655784574
131,0.676329787,0.663049645,0.730531915,0.663882979,0.642460106,0.657353723
132,0.68087766,0.668333333,0.720407801,0.654867021,0.655026596,0.666702128
133,0.694787234,0.679946809,0.72143617,0.659920213,0.654521277,0.665452128
134,0.692234043,0.674787234,0.727765957,0.647021277,0.653125,0.656050532
135,0.690531915,0.676010638,0.717056738,0.639428191,0.645545213,0.669680851
136,0.69518617,0.67787234,0.739556738,0.631861702,0.647805851,0.660079787
137,0.690345745,0.676276596,0.727588652,0.62043883,0.642912234,0.663417553
138,0.690079787,0.681755319,0.724255319,0.637460106,0.627433511,0.66606383
139,0.697074468,0.690549645,0.715531915,0.649082447,0.644760638,0.653218085
140,0.692473404,0.688173759,0.73358156,0.65712766,0.647992021,0.648111702
141,0.691117021,0.690053191,0.716294326,0.656755319,0.652114362,0.630398936
142,0.694255319,0.686968085,0.729663121,0.64581117,0.66043883,0.663125
143,0.694893617,0.699024823,0.741648936,0.639494681,0.663457447,0.648843085
144,0.689255319,0.689503546,0.729556738,0.657805851,0.659268617,0.663763298
145,0.691781915,0.697304965,0.739255319,0.66349734,0.652779255,0.655678191
146,0.691968085,0.695460993,0.722606383,0.662420213,0.63724734,0.662646277
147,0.705452128,0.705390071,0.729964539,0.660132979,0.636263298,0.642632979
148,0.70768617,0.699361702,0.73106383,0.667154255,0.646914894,0.657287234
149,0.708005319,0.692624113,0.72108156,0.661954787,0.655212766,0.659242021
150,0.715691489,0.704219858,0.740141844,0.656555851,0.642021277,0.673111702
151,0.708643617,0.701471631,0.738014184,0.661861702,0.64168883,0.656968085
152,0.702606383,0.70464539,0.728386525,0.679202128,0.640678191,0.674946809
153,0.70393617,0.704432624,0.72964539,0.656595745,0.648736702,0.661795213
154,0.706888298,0.706258865,0.733120567,0.662047872,0.642367021,0.642579787
155,0.703031915,0.70714539,0.720602837,0.670385638,0.647898936,0.674082447
156,0.706489362,0.707801418,0.732021277,0.660452128,0.653603723,0.657287234
157,0.699468085,0.713847518,0.733882979,0.646143617,0.650957447,0.662446809
158,0.70037234,0.709663121,0.741560284,0.650079787,0.644428191,0.676529255
159,0.682047872,0.710141844,0.72998227,0.648882979,0.645984043,0.669614362
160,0.700824468,0.714539007,0.740443262,0.660053191,0.641263298,0.682114362
161,0.706037234,0.712907801,0.726808511,0.656954787,0.647140957,0.660212766
162,0.703430851,0.714503546,0.732216312,0.653896277,0.660159574,0.670984043
163,0.699335106,0.705,0.741312057,0.675465426,0.659175532,0.685332447
164,0.704734043,0.707234043,0.74464539,0.660226064,0.641595745,0.670478723
165,0.697898936,0.695070922,0.739361702,0.657726064,0.638643617,0.685718085
166,0.69356383,0.69962766,0.739716312,0.66018617,0.640292553,0.659587766
167,0.681781915,0.69964539,0.729574468,0.65849734,0.63268617,0.660731383
168,0.690505319,0.705336879,0.735496454,0.65268617,0.645851064,0.679694149
169,0.686675532,0.700460993,0.740212766,0.66837766,0.645704787,0.675851064
170,0.681941489,0.69393617,0.738634752,0.64525266,0.62537234,0.681875
171,0.693989362,0.704237589,0.743386525,0.664840426,0.637207447,0.674614362
172,0.694281915,0.70714539,0.727234043,0.681369681,0.648031915,0.67706117
173,0.685505319,0.708723404,0.740407801,0.667606383,0.66474734,0.67606383
174,0.692553191,0.708191489,0.744343972,0.66106383,0.653058511,0.660026596
175,0.691303191,0.709858156,0.74,0.64912234,0.664095745,0.662513298
176,0.692712766,0.707322695,0.734964539,0.646675532,0.665172872,0.65087766
177,0.694946809,0.702890071,0.729822695,0.658590426,0.68168883,0.652992021
178,0.696861702,0.702446809,0.744060284,0.648922872,0.674468085,0.684069149
179,0.692420213,0.702535461,0.739751773,0.652925532,0.665664894,0.669202128
180,0.681808511,0.706826241,0.730780142,0.654960106,0.666542553,0.691768617
181,0.684441489,0.711737589,0.741205674,0.657845745,0.656183511,0.665691489
182,0.697154255,0.709131206,0.73501773,0.654614362,0.650864362,0.69018617
183,0.702393617,0.706808511,0.750549645,0.657473404,0.666835106,0.676875
184,0.705558511,0.708031915,0.746684397,0.650146277,0.671196809,0.676409574
