round,FedAvg,FDP-FL,FEDDATE-CS,FedBuff,MR-VFL
163,0.74056,0.73724,0.7608,0.7604,0.797
164,0.74012,0.7501,0.75085,0.7592,0.80065
165,0.7307,0.7517,0.733725,0.7833,0.79585
166,0.7334,0.7302,0.738825,0.7428,0.79615
167,0.73104,0.72614,0.75885,0.7458,0.7985
168,0.73726,0.73788,0.765325,0.738,0.794
169,0.72102,0.72956,0.759575,0.774,0.79955
170,0.72452,0.72106,0.767375,0.7481,0.79665
171,0.73118,0.74572,0.7622,0.7687,0.80015
172,0.71172,0.74166,0.7579,0.7682,0.80045
173,0.73352,0.74082,0.7571,0.7897,0.7974
174,0.74298,0.73052,0.7655,0.7915,0.7957
175,0.75624,0.72034,0.7741,0.7265,0.7992
176,0.7497,0.7275,0.7799,0.636,0.7997
177,0.75452,0.73236,0.77935,0.745,0.80165
178,0.74888,0.7356,0.7775,0.7655,0.8001
179,0.75258,0.74804,0.7792,0.7649,0.8017
180,0.75618,0.74852,0.7565,0.7542,0.8023
181,0.76216,0.73576,0.779425,0.7157,0.8013
182,0.75766,0.74162,0.778475,0.7693,0.7993
183,0.75178,0.74594,0.763775,0.6986,0.79975
184,0.75174,0.73486,0.764475,0.7914,0.7999
185,0.75284,0.7384,0.766525,0.7522,0.8017
186,0.75064,0.74244,0.771775,0.7934,0.79845
187,0.7465,0.75178,0.7707,0.7518,0.80045
188,0.73094,0.7467,0.7803,0.7661,0.79985
189,0.74084,0.75342,0.77715,0.7586,0.80045
190,0.73632,0.73212,0.76475,0.7726,0.7997
191,0.74538,0.72762,0.772375,0.7473,0.7972
192,0.7513,0.73208,0.776425,0.776,0.7997
193,0.74482,0.73646,0.778425,0.6884,0.80055
194,0.75048,0.74414,0.77845,0.7759,0.79925
195,0.7424,0.74502,0.7673,0.7646,0.8009
196,0.7452,0.76076,0.778625,0.7359,0.79915
197,0.76156,0.75822,0.773525,0.7781,0.7999
198,0.76452,0.75596,0.776725,0.7918,0.80105
199,0.76386,0.75626,0.778275,0.7636,0.8007
200,0.75736,0.75726,0.7805,0.7573,0.80045
